testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-11,9,5,4.43790519985774,2.0,2.437905199857739,0.224781489175565
2020-04-11,9,6,4.467401028683668,2.0,2.4674010286836685,0.10025916470461681
2020-04-11,12,1,3.977305718775679,2.0,1.9811555066185524,0.18610715635810865
2020-04-11,12,2,4.591864169616654,2.0,2.5918641696166542,0.16816740894439336
2020-04-11,12,3,4.152635741209374,2.0,2.152635741209374,0.09775830452721183
2020-04-11,12,4,4.373460872507364,2.0,2.373460872507364,0.12612727515655076
2020-04-11,12,5,4.993592076034676,2.0,2.993592076034676,0.21115128079058143
2020-04-11,12,6,4.048217108819907,2.0,2.048217108819907,0.11506683751980556
2020-04-11,15,1,4.783550273510109,2.0,2.7835502735101088,0.1334169816362349
2020-04-11,15,2,4.628230181982973,2.0,2.628230181982974,0.11824563953421197
2020-04-11,15,3,4.484249960602708,2.0,2.884249960602707,0.3060402874216898
2020-04-11,15,4,4.793098437236333,2.0,2.793098437236334,0.10488261372561403
2020-04-11,15,5,4.965828241219531,2.0,2.9658282412195303,0.16300785756965586
2020-04-11,15,6,3.9551068160391187,2.0,1.9551068160391187,0.21187099547153698
2020-04-11,30,1,4.477648324751124,2.0,2.477648324751124,0.11879672394920127
2020-04-11,30,2,4.250141173274801,2.0,2.317338790096829,0.14333402921750882
2020-04-11,30,3,4.087828854142395,2.0,2.0878288541423946,0.08770045240609835
2020-04-11,30,4,4.20870408781626,2.0,2.20870408781626,0.10888129887334722
2020-04-11,30,5,4.675419879527395,2.0,2.6754198795273947,0.14041089899984419
2020-04-11,30,6,4.384833511225649,2.0,2.384833511225649,0.10655347223057898
2020-04-12,1,1,3.327385184482872,1.0,2.327385184482872,0.0885771449939063
2020-04-12,1,2,3.4593105322151523,1.0,2.4593105322151523,0.09641006233189012
2020-04-12,1,3,3.207832226490803,1.0,2.207832226490802,0.08415804208909433
2020-04-12,1,4,2.980090226821151,1.0,1.9800902268211504,0.08958889479927776
2020-04-12,1,5,3.461383886578367,1.0,2.461383886578367,0.11698702494875764
2020-04-12,1,6,2.8778094667223675,1.0,1.877809466722367,0.06310221944881977
2020-04-12,3,1,2.9545278923695495,1.0,1.9545278923695493,0.1397548646940976
2020-04-12,3,2,3.122907788085315,1.0,2.1515352384861544,0.12807190886566244
2020-04-12,3,3,4.015906373762762,1.0,3.015906373762763,0.13723087368174164
2020-04-12,3,4,3.0885271215482346,1.0,2.2012611995141804,0.17658100401355187
2020-04-12,3,5,2.815376727346985,1.0,1.861118674353949,0.20365107830700918
2020-04-12,3,6,3.5145692295841986,1.0,2.514569229584198,0.13697311303723014
2020-04-12,5,1,3.4599174340892684,1.0,2.4599174340892684,0.0942264676586145
2020-04-12,5,2,3.5234121960474276,1.0,2.5234121960474276,0.11277284205489785
2020-04-12,5,3,3.2406484556860384,1.0,2.440648455686039,0.254885968610593
2020-04-12,5,4,3.521217096162313,1.0,2.521217096162313,0.11620347279467344
2020-04-12,5,5,2.4668074758320286,1.0,1.4668074758320286,0.07137416390841171
2020-04-12,5,6,3.2687339456810234,1.0,2.2687339456810234,0.1263773177973868
2020-04-12,7,1,4.46642193178306,1.0,3.4664219317830596,0.12829015536145824
2020-04-12,7,2,2.9516569449285823,1.0,2.151656944928581,0.19868223067612534
2020-04-12,7,3,3.158948305381421,1.0,2.1589483053814216,0.09395867614496067
2020-04-12,7,4,3.827103194285529,1.0,2.827103194285529,0.13423199730066657
